"date","currency","rate"
2003-08-20,"SIT",211.67
2003-08-20,"SKK",37.801
2003-08-20,"TRL",99999.99999
2003-08-20,"ZAR",7.3967
2003-08-20,"EUR",0.90017
2003-08-21,"USD",1
2003-08-21,"AUD",1.5184
2003-08-21,"BGN",1.7679
2003-08-21,"CAD",1.4058
2003-08-21,"CHF",1.401
2003-08-21,"CYP",0.53201
2003-08-21,"CZK",29.53
2003-08-21,"DKK",6.7517
2003-08-21,"EEK",14.213
2003-08-21,"GBP",0.63076
2003-08-21,"HKD",7.7985
2003-08-21,"HUF",234.94
2003-08-21,"ISK",80.961
2003-08-21,"JPY",117.87
2003-08-21,"KRW",1172.9
2003-08-21,"LTL",3.1365
2003-08-21,"LVL",0.57571
2003-08-21,"MTL",0.3865
2003-08-21,"NOK",7.5179
2003-08-21,"NZD",1.6983
2003-08-21,"PLN",3.9631
2003-08-21,"ROL",33609
2003-08-21,"SEK",8.3652
2003-08-21,"SGD",1.7331
2003-08-21,"SIT",213.61
2003-08-21,"SKK",38.082
2003-08-21,"TRL",99999.99999
2003-08-21,"ZAR",7.4346
2003-08-21,"EUR",0.90835
2003-08-22,"USD",1
2003-08-22,"AUD",1.5383
2003-08-22,"BGN",1.7865
2003-08-22,"CAD",1.4113
2003-08-22,"CHF",1.4156
2003-08-22,"CYP",0.53684
2003-08-22,"CZK",29.677
2003-08-22,"DKK",6.8227
2003-08-22,"EEK",14.363
2003-08-22,"GBP",0.63512
2003-08-22,"HKD",7.7985
2003-08-22,"HUF",236.27
2003-08-22,"ISK",81.806
2003-08-22,"JPY",117.84
2003-08-22,"KRW",1169.7
2003-08-22,"LTL",3.1696
2003-08-22,"LVL",0.57738
2003-08-22,"MTL",0.38994
2003-08-22,"NOK",7.606
2003-08-22,"NZD",1.7199
2003-08-22,"PLN",4.005
2003-08-22,"ROL",33872
2003-08-22,"SEK",8.4532
2003-08-22,"SGD",1.7442
2003-08-22,"SIT",215.9
2003-08-22,"SKK",38.535
2003-08-22,"TRL",99999.99999
2003-08-22,"ZAR",7.4909
2003-08-22,"EUR",0.91794
2003-08-23,"USD",1
2003-08-23,"AUD",1.5383
2003-08-23,"BGN",1.7865
2003-08-23,"CAD",1.4113
2003-08-23,"CHF",1.4156
2003-08-23,"CYP",0.53684
2003-08-23,"CZK",29.677
2003-08-23,"DKK",6.8227
2003-08-23,"EEK",14.363
2003-08-23,"GBP",0.63512
2003-08-23,"HKD",7.7985
2003-08-23,"HUF",236.27
2003-08-23,"ISK",81.806
2003-08-23,"JPY",117.84
2003-08-23,"KRW",1169.7
2003-08-23,"LTL",3.1696
2003-08-23,"LVL",0.57738
2003-08-23,"MTL",0.38994
2003-08-23,"NOK",7.606
2003-08-23,"NZD",1.7199
2003-08-23,"PLN",4.005
2003-08-23,"ROL",33872
2003-08-23,"SEK",8.4532
2003-08-23,"SGD",1.7442
2003-08-23,"SIT",215.9
2003-08-23,"SKK",38.535
2003-08-23,"TRL",99999.99999
2003-08-23,"ZAR",7.4909
2003-08-23,"EUR",0.91794
2003-08-24,"USD",1
2003-08-24,"AUD",1.5383
2003-08-24,"BGN",1.7865
2003-08-24,"CAD",1.4113
2003-08-24,"CHF",1.4156
2003-08-24,"CYP",0.53684
2003-08-24,"CZK",29.677
2003-08-24,"DKK",6.8227
2003-08-24,"EEK",14.363
2003-08-24,"GBP",0.63512
2003-08-24,"HKD",7.7985
2003-08-24,"HUF",236.27
2003-08-24,"ISK",81.806
2003-08-24,"JPY",117.84
2003-08-24,"KRW",1169.7
2003-08-24,"LTL",3.1696
2003-08-24,"LVL",0.57738
2003-08-24,"MTL",0.38994
2003-08-24,"NOK",7.606
2003-08-24,"NZD",1.7199
2003-08-24,"PLN",4.005
2003-08-24,"ROL",33872
2003-08-24,"SEK",8.4532
2003-08-24,"SGD",1.7442
2003-08-24,"SIT",215.9
2003-08-24,"SKK",38.535
2003-08-24,"TRL",99999.99999
2003-08-24,"ZAR",7.4909
2003-08-24,"EUR",0.91794
2003-08-25,"USD",1
2003-08-25,"AUD",1.5359
2003-08-25,"BGN",1.7875
2003-08-25,"CAD",1.4026
2003-08-25,"CHF",1.4144
2003-08-25,"CYP",0.53698
2003-08-25,"CZK",29.785
2003-08-25,"DKK",6.8257
2003-08-25,"EEK",14.371
2003-08-25,"GBP",0.63455
2003-08-25,"HKD",7.7988
2003-08-25,"HUF",235.31
2003-08-25,"ISK",82.155
2003-08-25,"JPY",117.42
2003-08-25,"KRW",1170.9
2003-08-25,"LTL",3.1713
2003-08-25,"LVL",0.57724
2003-08-25,"MTL",0.39006
2003-08-25,"NOK",7.6203
2003-08-25,"NZD",1.711
2003-08-25,"PLN",4.0062
2003-08-25,"ROL",33845
2003-08-25,"SEK",8.4896
2003-08-25,"SGD",1.7458
2003-08-25,"SIT",215.79
2003-08-25,"SKK",38.593
2003-08-25,"TRL",99999.99999
2003-08-25,"ZAR",7.4732
2003-08-25,"EUR",0.91844
2003-08-26,"USD",1
2003-08-26,"AUD",1.5541
2003-08-26,"BGN",1.7994
2003-08-26,"CAD",1.4019
2003-08-26,"CHF",1.421
2003-08-26,"CYP",0.54055
2003-08-26,"CZK",29.909
2003-08-26,"DKK",6.8705
2003-08-26,"EEK",14.467
2003-08-26,"GBP",0.63961
2003-08-26,"HKD",7.7991
2003-08-26,"HUF",237.19
2003-08-26,"ISK",82.184
2003-08-26,"JPY",117.47
2003-08-26,"KRW",1169.8
2003-08-26,"LTL",3.1919
2003-08-26,"LVL",0.57979
2003-08-26,"MTL",0.39238
2003-08-26,"NOK",7.6951
2003-08-26,"NZD",1.7408
2003-08-26,"PLN",4.0292
2003-08-26,"ROL",33885
2003-08-26,"SEK",8.578
2003-08-26,"SGD",1.755
2003-08-26,"SIT",217.23
2003-08-26,"SKK",38.767
2003-08-26,"TRL",99999.99999
2003-08-26,"ZAR",7.4908
2003-08-26,"EUR",0.92456
2003-08-27,"USD",1
2003-08-27,"AUD",1.5622
2003-08-27,"BGN",1.7844
2003-08-27,"CAD",1.3999
2003-08-27,"CHF",1.4094
2003-08-27,"CYP",0.53585
2003-08-27,"CZK",29.862
2003-08-27,"DKK",6.8128
2003-08-27,"EEK",14.346
2003-08-27,"GBP",0.63656
2003-08-27,"HKD",7.7991
2003-08-27,"HUF",236.42
2003-08-27,"ISK",81.746
2003-08-27,"JPY",117.92
2003-08-27,"KRW",1177.9
2003-08-27,"LTL",3.1654
2003-08-27,"LVL",0.57779
2003-08-27,"MTL",0.38975
2003-08-27,"NOK",7.64
2003-08-27,"NZD",1.7502
2003-08-27,"PLN",3.9947
2003-08-27,"ROL",33859
2003-08-27,"SEK",8.4964
2003-08-27,"SGD",1.752
2003-08-27,"SIT",215.47
2003-08-27,"SKK",38.498
2003-08-27,"TRL",99999.99999
2003-08-27,"ZAR",7.3685
2003-08-27,"EUR",0.91684
2003-08-28,"USD",1
2003-08-28,"AUD",1.5646
2003-08-28,"BGN",1.7976
2003-08-28,"CAD",1.4061
2003-08-28,"CHF",1.4236
2003-08-28,"CYP",0.53976
2003-08-28,"CZK",30.061
2003-08-28,"DKK",6.8616
2003-08-28,"EEK",14.45
2003-08-28,"GBP",0.63756
2003-08-28,"HKD",7.7991
2003-08-28,"HUF",236.98
2003-08-28,"ISK",80.347
2003-08-28,"JPY",117.39
2003-08-28,"KRW",1178.1
2003-08-28,"LTL",3.1884
2003-08-28,"LVL",0.57942
2003-08-28,"MTL",0.39195
2003-08-28,"NOK",7.6455
2003-08-28,"NZD",1.7544
2003-08-28,"PLN",4.0109
2003-08-28,"ROL",34189
2003-08-28,"SEK",8.515
2003-08-28,"SGD",1.7556
2003-08-28,"SIT",217.14
2003-08-28,"SKK",38.83
2003-08-28,"TRL",99999.99999
2003-08-28,"ZAR",7.3233
2003-08-28,"EUR",0.92353
2003-08-29,"USD",1
2003-08-29,"AUD",1.5569
2003-08-29,"BGN",1.7813
2003-08-29,"CAD",1.3968
2003-08-29,"CHF",1.4065
2003-08-29,"CYP",0.53471
2003-08-29,"CZK",29.688
2003-08-29,"DKK",6.7961
2003-08-29,"EEK",14.32
2003-08-29,"GBP",0.63384
2003-08-29,"HKD",7.7992
2003-08-29,"HUF",235.62
2003-08-29,"ISK",80.544
2003-08-29,"JPY",116.46
2003-08-29,"KRW",1178.3
2003-08-29,"LTL",3.1594
2003-08-29,"LVL",0.57646
2003-08-29,"MTL",0.38885
2003-08-29,"NOK",7.5474
2003-08-29,"NZD",1.7403
2003-08-29,"PLN",3.9892
2003-08-29,"ROL",34044
2003-08-29,"SEK",8.447
2003-08-29,"SGD",1.7536
2003-08-29,"SIT",215.16
2003-08-29,"SKK",38.441
2003-08-29,"TRL",99999.99999
2003-08-29,"ZAR",7.3247
2003-08-29,"EUR",0.91516
2003-08-30,"USD",1
2003-08-30,"AUD",1.5569
2003-08-30,"BGN",1.7813
2003-08-30,"CAD",1.3968
2003-08-30,"CHF",1.4065
2003-08-30,"CYP",0.53471
2003-08-30,"CZK",29.688
2003-08-30,"DKK",6.7961
2003-08-30,"EEK",14.32
2003-08-30,"GBP",0.63384
2003-08-30,"HKD",7.7992
2003-08-30,"HUF",235.62
2003-08-30,"ISK",80.544
2003-08-30,"JPY",116.46
2003-08-30,"KRW",1178.3
2003-08-30,"LTL",3.1594
2003-08-30,"LVL",0.57646
2003-08-30,"MTL",0.38885
2003-08-30,"NOK",7.5474
2003-08-30,"NZD",1.7403
2003-08-30,"PLN",3.9892
2003-08-30,"ROL",34044
2003-08-30,"SEK",8.447
2003-08-30,"SGD",1.7536
2003-08-30,"SIT",215.16
2003-08-30,"SKK",38.441
2003-08-30,"TRL",99999.99999
2003-08-30,"ZAR",7.3247
2003-08-30,"EUR",0.91516
2003-08-31,"USD",1
2003-08-31,"AUD",1.5569
2003-08-31,"BGN",1.7813
2003-08-31,"CAD",1.3968
2003-08-31,"CHF",1.4065
2003-08-31,"CYP",0.53471
2003-08-31,"CZK",29.688
2003-08-31,"DKK",6.7961
2003-08-31,"EEK",14.32
2003-08-31,"GBP",0.63384
2003-08-31,"HKD",7.7992
2003-08-31,"HUF",235.62
2003-08-31,"ISK",80.544
